"","16S-bodega-bay-fecal-experiment_Blank.1","16S-bodega-bay-fecal-experiment_Blank.10","16S-bodega-bay-fecal-experiment_Blank.11","16S-bodega-bay-fecal-experiment_Blank.12","16S-bodega-bay-fecal-experiment_Blank.2","16S-bodega-bay-fecal-experiment_Blank.3","16S-bodega-bay-fecal-experiment_Blank.4","16S-bodega-bay-fecal-experiment_Blank.5","16S-bodega-bay-fecal-experiment_Blank.6","16S-bodega-bay-fecal-experiment_Blank.7","16S-bodega-bay-fecal-experiment_Blank.8","16S-bodega-bay-fecal-experiment_Blank.9","16S-bodega-bay-fecal-experiment_CC.B.1.1","16S-bodega-bay-fecal-experiment_CC.B.1.2","16S-bodega-bay-fecal-experiment_CC.B.1.3","16S-bodega-bay-fecal-experiment_CC.B.2.1","16S-bodega-bay-fecal-experiment_CC.B.2.2","16S-bodega-bay-fecal-experiment_CC.B.2.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.2","16S-bodega-bay-fecal-experiment_CC.B.3.3","16S-bodega-bay-fecal-experiment_CC.B.4.1","16S-bodega-bay-fecal-experiment_CC.B.4.2","16S-bodega-bay-fecal-experiment_CC.B.4.3","16S-bodega-bay-fecal-experiment_CC.SG.1.1","16S-bodega-bay-fecal-experiment_CC.SG.1.2","16S-bodega-bay-fecal-experiment_CC.SG.1.3","16S-bodega-bay-fecal-experiment_CC.SG.2.1","16S-bodega-bay-fecal-experiment_CC.SG.2.2","16S-bodega-bay-fecal-experiment_CC.SG.2.3","16S-bodega-bay-fecal-experiment_CC.SG.3.1","16S-bodega-bay-fecal-experiment_CC.SG.3.2","16S-bodega-bay-fecal-experiment_CC.SG.3.3","16S-bodega-bay-fecal-experiment_CC.SG.4.1","16S-bodega-bay-fecal-experiment_CC.SG.4.2","16S-bodega-bay-fecal-experiment_CC.SG.4.3","16S-bodega-bay-fecal-experiment_MM.B.1.1","16S-bodega-bay-fecal-experiment_MM.B.1.2","16S-bodega-bay-fecal-experiment_MM.B.1.3","16S-bodega-bay-fecal-experiment_MM.B.2.1","16S-bodega-bay-fecal-experiment_MM.B.2.2","16S-bodega-bay-fecal-experiment_MM.B.2.3","16S-bodega-bay-fecal-experiment_MM.B.3.1","16S-bodega-bay-fecal-experiment_MM.B.3.2","16S-bodega-bay-fecal-experiment_MM.B.3.3","16S-bodega-bay-fecal-experiment_MM.B.4.1","16S-bodega-bay-fecal-experiment_MM.B.4.2","16S-bodega-bay-fecal-experiment_MM.B.4.3","16S-bodega-bay-fecal-experiment_MM.SG.1.1","16S-bodega-bay-fecal-experiment_MM.SG.1.2","16S-bodega-bay-fecal-experiment_MM.SG.1.3","16S-bodega-bay-fecal-experiment_MM.SG.2.1","16S-bodega-bay-fecal-experiment_MM.SG.2.2","16S-bodega-bay-fecal-experiment_MM.SG.2.3","16S-bodega-bay-fecal-experiment_MM.SG.3.1","16S-bodega-bay-fecal-experiment_MM.SG.3.2","16S-bodega-bay-fecal-experiment_MM.SG.3.3","16S-bodega-bay-fecal-experiment_MM.SG.4.1","16S-bodega-bay-fecal-experiment_MM.SG.4.2","16S-bodega-bay-fecal-experiment_MM.SG.4.3","16S-bodega-bay-fecal-experiment_NegCtrl1","16S-bodega-bay-fecal-experiment_NegCtrl2","16S-bodega-bay-fecal-experiment_WP.MFH.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.1.2","16S-bodega-bay-fecal-experiment_WP.MFH.1.3","16S-bodega-bay-fecal-experiment_WP.MFH.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.2.2","16S-bodega-bay-fecal-experiment_WP.MFH.2.3","16S-bodega-bay-fecal-experiment_WP.MFH.3.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.3.2","16S-bodega-bay-fecal-experiment_WP.MFH.3.3","16S-bodega-bay-fecal-experiment_WP.MFH.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.4.2","16S-bodega-bay-fecal-experiment_WP.MFH.4.3","16S-bodega-bay-fecal-experiment_WP.MFL.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.1.2","16S-bodega-bay-fecal-experiment_WP.MFL.1.3","16S-bodega-bay-fecal-experiment_WP.MFL.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.2.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.2","16S-bodega-bay-fecal-experiment_WP.MFL.3.3","16S-bodega-bay-fecal-experiment_WP.MFL.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.4.2","16S-bodega-bay-fecal-experiment_WP.MFL.4.3","16S-bodega-bay-fecal-experiment_WP.SG.1.1","16S-bodega-bay-fecal-experiment_WP.SG.1.2","16S-bodega-bay-fecal-experiment_WP.SG.1.3","16S-bodega-bay-fecal-experiment_WP.SG.2.1","16S-bodega-bay-fecal-experiment_WP.SG.2.2","16S-bodega-bay-fecal-experiment_WP.SG.2.3","16S-bodega-bay-fecal-experiment_WP.SG.3.1","16S-bodega-bay-fecal-experiment_WP.SG.3.2","16S-bodega-bay-fecal-experiment_WP.SG.3.3","16S-bodega-bay-fecal-experiment_WP.SG.4.1","16S-bodega-bay-fecal-experiment_WP.SG.4.2","16S-bodega-bay-fecal-experiment_WP.SG.4.3","16S-bodega-bay-fecal-experiment_Zymo.Ctrl1","16S-bodega-bay-fecal-experiment_Zymo.Ctrl2"
"1367a60e3075e4978417bf09d43ce191",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4fb9df7b38cd9972d6173979a8ccdd92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ef11a99502be235cbab59fa0deff6999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495c1bd1608a1dad54d3e2824ce899ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"094b90b37ab7cbb5661727bdf30972b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,25,0,0,0,0,0,0,0,4,19,27,41,0,4,0,0,0,0,0,0,34,0,16,34,43,0,59,20,0,0,43,27,33,52,0,0,0,17,65,72,0,77,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438054dc355bc2b1316f229e025e320b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b1d2d7ff1f90e94d7712d938248992b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f78f7d4e313eecb5208ce95d1d17f0b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1a186fae3e87e4b001dd1a34323d290c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3dd85aafd2e4e228ca666cc56bf05637",0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212d6f69dac642af721eca90d0b831a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dbddce0a66ca87e8bd8c8ac8bdabb44f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
