"","V1","V2","V3","V4","V5","V6","V7"
"0003367c233ad8b39a1434737ecbe030","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","uncultured","Unassigned"
"00085904b772fb81cd40e63bdb6a3a47","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"000e785bc0f9c06d90bdab79c7fce0c3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","uncultured","Unassigned"
"0012e44c32ea301416b2e3208a7c724c","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutibacter","uncultured bacterium"
"00178284a173516efd9db76d9b5df0aa","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Unassigned","Unassigned","Unassigned"
"001a0feb13c15ccd232b50d18b03cc96","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unassigned"
"002085ea8c3c04471dd214414320a048","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group","Unassigned","Unassigned"
"0029be5b5b4e4c835584951b9a48fb4e","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2","uncultured bacterium"
"003a023f955072f556837f9f056a0dc9","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Unassigned","Unassigned"
"0057cb15a460e04607f941cd497b3fbf","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured","Unassigned"
"005941b9b754013c102829bbc55d4e0e","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","Unassigned","Unassigned"
"00729bf25f4b8ab839f487fdcb07d7dc","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","uncultured","Unassigned"
"007557e4694ead97f7ac7012e05a91c3","Bacteria","Myxococcota","Polyangia","MidBa8","uncultured organism","Unassigned","Unassigned"
"00793dece430bcf71e5849bd6a07f12d","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","uncultured bacterium"
"008160815e3e27dc6de6f8f11c2ad26d","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","Unassigned","Unassigned"
"00832f5b7112dc91241d9b9a7cd87ba4","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"00905ee5ba2e84b02286759e62905661","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured bacterium","Unassigned","Unassigned"
"009ff113023677fb789d28dcaa209961","Bacteria","Deferrisomatota","Defferrisomatia","Defferrisomatales","Defferrisomataceae","Deferrisoma","Unassigned"
"00ab853268a423644e1909e00502e267","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured bacterium"
"00acc4b514c86e85d2a03162250de39f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unassigned","Unassigned","Unassigned"
"00b095870c4b5f5cf2df7558fed6c8b1","Bacteria","Planctomycetota","Pla4 lineage","Unassigned","Unassigned","Unassigned","Unassigned"
"00b0f61ed497dfbe9053fcade8a46607","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured bacterium","Unassigned","Unassigned"
"00b0fd828aead67f7fb91799bf6f9be8","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum","uncultured bacterium","Unassigned","Unassigned"
"00bd76e54601233dc7a117919adb9b75","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured bacterium","Unassigned","Unassigned"
"00bfde152312982c508255ce6b9fb748","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","R76-B128","Unassigned"
"00c470a2a2331f53259e195d7577b1d7","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"00c7465e3d8e2a47528882eab2eeda79","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21","Unassigned"
"00c9a1c676184adf67cca746403e2fd9","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","uncultured","uncultured bacterium"
"00ca0669da1c96e957f701b48d13653b","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"00cd6d5ae62e2237eecf0ac96fe3ab06","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured bacterium","Unassigned","Unassigned"
"00d30f7d6eed45771393abcfb27534e7","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2","uncultured bacterium"
"00da2821ea8e7f793f549e23f3243a7f","Bacteria","Firmicutes","Clostridia","Lachnospirales","Defluviitaleaceae","Defluviitaleaceae UCG-011","uncultured bacterium"
"00dcb41bda36cfb5942a74b9d8cbe54a","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","uncultured bacterium"
"00dcbbfe4c347c5ce724f59f28d35410","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"00dfca212fc9d36de28bdc65e7d666ca","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Unassigned","Unassigned"
"00e101bc691ec878a2132c4912b763dd","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"00f434e9ff05622b21a6e5faad9a3658","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thiomicrospiraceae","endosymbionts","uncultured bacterium"
"01025e37f13f0475ca3e5b6668e92073","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured bacterium","Unassigned","Unassigned"
"0102b260a080b3c5baa74874ae139eac","Bacteria","Planctomycetota","Phycisphaerae","Pla1 lineage","Unassigned","Unassigned","Unassigned"
"0111381b79888e227f420d028a7e71ab","Bacteria","Proteobacteria","Gammaproteobacteria","uncultured","uncultured bacterium","Unassigned","Unassigned"
"01222b3b0b9ac84e520abb4dddd07a25","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios","uncultured gamma proteobacterium"
"012e76a0c57a093f18d204f54f050266","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","uncultured","Unassigned"
"012e8b79ed2331241e2f7759ace974dd","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Unassigned"
"013c7df5554ddc7e1f72f9181ab88555","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7 clade","Unassigned"
"0145b1b9dd4e3ba18efaa8e7b9f22ef5","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2","uncultured bacterium"
"014bad40d5db94d400d43a44a6c08d3f","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas","Unassigned"
"015ab2465763f8b5800689e6034dcc61","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfohalotomaculum","Unassigned","Unassigned"
"01628a01bc3bed56314f902c0b031542","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"016c1ccf35d0aef509824f8c9f77848e","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured organism"
"0178518505ee74ed100f398795a6222c","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","Candidatus Thiodiazotropha","Unassigned"
"017d19baa2e0387121f469b4be75d379","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"0183da2efde38c560b01f60436bf83cd","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured bacterium","Unassigned"
"0184e0a40895089fbd20807a86461c1e","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","uncultured bacterium","Unassigned"
"0188ae5b58d2ca80b94e6c2385066ea4","Bacteria","Planctomycetota","vadinHA49","Unassigned","Unassigned","Unassigned","Unassigned"
"01906bdc228d6d33d7845ccd4ed20a51","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae UCG-001","Unassigned"
"019272d5a9ecb1ef08fb5f0d25491a86","Bacteria","NB1-j","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"01965d0b5de78563d4ad77749bac327b","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured bacterium","Unassigned","Unassigned"
"019696fd596b915ebdaa295934b8f6a0","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","uncultured","Unassigned"
"019bed84669410b5d384f6e3280da1b9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Ulvibacter","uncultured bacterium"
"01a3f259eda8c6c1fd4949e4796f07c4","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"01a787020d82b8b78b063820172c38af","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","Unassigned"
"01b5d9c1c9f98e95a4f31c65a1650fcf","Archaea","Crenarchaeota","Bathyarchaeia","uncultured archaeon","Unassigned","Unassigned","Unassigned"
