"","18S-bodega-bay_Blank1.LUD","18S-bodega-bay_Blank1.RS","18S-bodega-bay_Blank10.RS","18S-bodega-bay_Blank11.RS","18S-bodega-bay_Blank12.RS","18S-bodega-bay_Blank2.LUD","18S-bodega-bay_Blank2.RS","18S-bodega-bay_Blank3.LUD","18S-bodega-bay_Blank3.RS","18S-bodega-bay_Blank4.LUD","18S-bodega-bay_Blank4.RS","18S-bodega-bay_Blank5.LUD","18S-bodega-bay_Blank5.RS","18S-bodega-bay_Blank6.LUD","18S-bodega-bay_Blank6.RS","18S-bodega-bay_Blank7.LUD","18S-bodega-bay_Blank7.RS","18S-bodega-bay_Blank8.LUD","18S-bodega-bay_Blank8.RS","18S-bodega-bay_Blank9.RS","18S-bodega-bay_CC.B.1.1.LUD","18S-bodega-bay_CC.B.1.1.RS","18S-bodega-bay_CC.B.1.2.LUD","18S-bodega-bay_CC.B.1.2.RS","18S-bodega-bay_CC.B.1.3.LUD","18S-bodega-bay_CC.B.1.3.RS","18S-bodega-bay_CC.B.2.1.LUD","18S-bodega-bay_CC.B.2.1.RS","18S-bodega-bay_CC.B.2.2.LUD","18S-bodega-bay_CC.B.2.2.RS","18S-bodega-bay_CC.B.2.3.1.LUD","18S-bodega-bay_CC.B.2.3.1.RS","18S-bodega-bay_CC.B.3.1.LUD","18S-bodega-bay_CC.B.3.1.RS","18S-bodega-bay_CC.B.3.2.LUD","18S-bodega-bay_CC.B.3.2.RS","18S-bodega-bay_CC.B.3.3.LUD","18S-bodega-bay_CC.B.3.3.RS","18S-bodega-bay_CC.B.4.1.LUD","18S-bodega-bay_CC.B.4.1.RS","18S-bodega-bay_CC.B.4.2.LUD","18S-bodega-bay_CC.B.4.2.RS","18S-bodega-bay_CC.B.4.3.LUD","18S-bodega-bay_CC.B.4.3.RS","18S-bodega-bay_CC.SG.1.1.LUD","18S-bodega-bay_CC.SG.1.1.RS","18S-bodega-bay_CC.SG.1.2.LUD","18S-bodega-bay_CC.SG.1.2.RS","18S-bodega-bay_CC.SG.1.3.LUD","18S-bodega-bay_CC.SG.1.3.RS","18S-bodega-bay_CC.SG.2.1.LUD","18S-bodega-bay_CC.SG.2.1.RS","18S-bodega-bay_CC.SG.2.2.LUD","18S-bodega-bay_CC.SG.2.2.RS","18S-bodega-bay_CC.SG.2.3.LUD","18S-bodega-bay_CC.SG.2.3.RS","18S-bodega-bay_CC.SG.3.1.LUD","18S-bodega-bay_CC.SG.3.1.RS","18S-bodega-bay_CC.SG.3.2.LUD","18S-bodega-bay_CC.SG.3.2.RS","18S-bodega-bay_CC.SG.3.3.LUD","18S-bodega-bay_CC.SG.3.3.RS","18S-bodega-bay_CC.SG.4.1.LUD","18S-bodega-bay_CC.SG.4.1.RS","18S-bodega-bay_CC.SG.4.2.LUD","18S-bodega-bay_CC.SG.4.2.RS","18S-bodega-bay_CC.SG.4.3.LUD","18S-bodega-bay_CC.SG.4.3.RS","18S-bodega-bay_MM.B.1.1.LUD","18S-bodega-bay_MM.B.1.1.RS","18S-bodega-bay_MM.B.1.2.LUD","18S-bodega-bay_MM.B.1.2.RS","18S-bodega-bay_MM.B.1.3.LUD","18S-bodega-bay_MM.B.1.3.RS","18S-bodega-bay_MM.B.2.1.LUD","18S-bodega-bay_MM.B.2.1.RS","18S-bodega-bay_MM.B.2.2.LUD","18S-bodega-bay_MM.B.2.2.RS","18S-bodega-bay_MM.B.2.3.LUD","18S-bodega-bay_MM.B.2.3.RS","18S-bodega-bay_MM.B.3.1.LUD","18S-bodega-bay_MM.B.3.1.RS","18S-bodega-bay_MM.B.3.2.LUD","18S-bodega-bay_MM.B.3.2.RS","18S-bodega-bay_MM.B.3.3.LUD","18S-bodega-bay_MM.B.3.3.RS","18S-bodega-bay_MM.B.4.1.LUD","18S-bodega-bay_MM.B.4.1.RS","18S-bodega-bay_MM.B.4.2.LUD","18S-bodega-bay_MM.B.4.2.RS","18S-bodega-bay_MM.B.4.3.LUD","18S-bodega-bay_MM.B.4.3.RS","18S-bodega-bay_MM.SG.1.1.LUD","18S-bodega-bay_MM.SG.1.1.RS","18S-bodega-bay_MM.SG.1.2.LUD","18S-bodega-bay_MM.SG.1.2.RS","18S-bodega-bay_MM.SG.1.3.LUD","18S-bodega-bay_MM.SG.1.3.RS","18S-bodega-bay_MM.SG.2.1.LUD","18S-bodega-bay_MM.SG.2.1.RS","18S-bodega-bay_MM.SG.2.2.LUD","18S-bodega-bay_MM.SG.2.2.RS","18S-bodega-bay_MM.SG.2.3.LUD","18S-bodega-bay_MM.SG.2.3.RS","18S-bodega-bay_MM.SG.3.1.LUD","18S-bodega-bay_MM.SG.3.1.RS","18S-bodega-bay_MM.SG.3.2.LUD","18S-bodega-bay_MM.SG.3.2.RS","18S-bodega-bay_MM.SG.3.3.LUD","18S-bodega-bay_MM.SG.3.3.RS","18S-bodega-bay_MM.SG.4.1.LUD","18S-bodega-bay_MM.SG.4.1.RS","18S-bodega-bay_MM.SG.4.2.LUD","18S-bodega-bay_MM.SG.4.2.RS","18S-bodega-bay_MM.SG.4.3.LUD","18S-bodega-bay_MM.SG.4.3.RS","18S-bodega-bay_NegtCtrl1.Lud","18S-bodega-bay_NegtCtrl1.SeaGrass","18S-bodega-bay_NegtCtrl2.Lud","18S-bodega-bay_NegtCtrl2.SeaGrass","18S-bodega-bay_WP.MFH.1.1.LUD","18S-bodega-bay_WP.MFH.1.1.RS","18S-bodega-bay_WP.MFH.1.2.LUD","18S-bodega-bay_WP.MFH.1.2.RS","18S-bodega-bay_WP.MFH.1.3.LUD","18S-bodega-bay_WP.MFH.1.3.RS","18S-bodega-bay_WP.MFH.2.1.1.LUD","18S-bodega-bay_WP.MFH.2.1.1.RS","18S-bodega-bay_WP.MFH.2.2.LUD","18S-bodega-bay_WP.MFH.2.2.RS","18S-bodega-bay_WP.MFH.2.3.LUD","18S-bodega-bay_WP.MFH.2.3.RS","18S-bodega-bay_WP.MFH.3.1.1.LUD","18S-bodega-bay_WP.MFH.3.1.1.RS","18S-bodega-bay_WP.MFH.3.2.LUD","18S-bodega-bay_WP.MFH.3.2.RS","18S-bodega-bay_WP.MFH.3.3.LUD","18S-bodega-bay_WP.MFH.3.3.RS","18S-bodega-bay_WP.MFH.4.1.1.LUD","18S-bodega-bay_WP.MFH.4.1.1.RS","18S-bodega-bay_WP.MFH.4.2.LUD","18S-bodega-bay_WP.MFH.4.2.RS","18S-bodega-bay_WP.MFH.4.3.LUD","18S-bodega-bay_WP.MFH.4.3.RS","18S-bodega-bay_WP.MFL.1.1.LUD","18S-bodega-bay_WP.MFL.1.1.RS","18S-bodega-bay_WP.MFL.1.2.LUD","18S-bodega-bay_WP.MFL.1.2.RS","18S-bodega-bay_WP.MFL.1.3.LUD","18S-bodega-bay_WP.MFL.1.3.RS","18S-bodega-bay_WP.MFL.2.1.1.LUD","18S-bodega-bay_WP.MFL.2.1.1.RS","18S-bodega-bay_WP.MFL.2.2.1.LUD","18S-bodega-bay_WP.MFL.2.2.1.RS","18S-bodega-bay_WP.MFL.2.3.1.LUD","18S-bodega-bay_WP.MFL.2.3.1.RS","18S-bodega-bay_WP.MFL.3.1.LUD","18S-bodega-bay_WP.MFL.3.1.RS","18S-bodega-bay_WP.MFL.3.2.LUD","18S-bodega-bay_WP.MFL.3.2.RS","18S-bodega-bay_WP.MFL.3.3.LUD","18S-bodega-bay_WP.MFL.3.3.RS","18S-bodega-bay_WP.MFL.4.1.1.LUD","18S-bodega-bay_WP.MFL.4.1.1.RS","18S-bodega-bay_WP.MFL.4.2.LUD","18S-bodega-bay_WP.MFL.4.2.RS","18S-bodega-bay_WP.MFL.4.3.1.2.LUD","18S-bodega-bay_WP.MFL.4.3.1.2.RS","18S-bodega-bay_WP.SG.1.1.LUD","18S-bodega-bay_WP.SG.1.1.RS","18S-bodega-bay_WP.SG.1.2.LUD","18S-bodega-bay_WP.SG.1.2.RS","18S-bodega-bay_WP.SG.1.3.LUD","18S-bodega-bay_WP.SG.1.3.RS","18S-bodega-bay_WP.SG.2.1.LUD","18S-bodega-bay_WP.SG.2.1.RS","18S-bodega-bay_WP.SG.2.2.LUD","18S-bodega-bay_WP.SG.2.2.RS","18S-bodega-bay_WP.SG.2.3.LUD","18S-bodega-bay_WP.SG.2.3.RS","18S-bodega-bay_WP.SG.3.1.LUD","18S-bodega-bay_WP.SG.3.1.RS","18S-bodega-bay_WP.SG.3.2.LUD","18S-bodega-bay_WP.SG.3.2.RS","18S-bodega-bay_WP.SG.3.3.LUD","18S-bodega-bay_WP.SG.3.3.RS","18S-bodega-bay_WP.SG.4.1.LUD","18S-bodega-bay_WP.SG.4.1.RS","18S-bodega-bay_WP.SG.4.2.LUD","18S-bodega-bay_WP.SG.4.2.RS","18S-bodega-bay_WP.SG.4.3.LUD","18S-bodega-bay_WP.SG.4.3.RS","18S-bodega-bay_ZymoMock1.Lud","18S-bodega-bay_ZymoMock1.SeaGrass","18S-bodega-bay_ZymoMock2.Lud","18S-bodega-bay_ZymoMock2.SeaGrass"
"d60ab9f7906437b1387a5ce6e5336042",2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2630,0,304,508,1036,578,3655,853,198,217,358,1171,1705,1618,2284,412,3411,14,1199,164,1470,119,1089,740,3758,1893,5937,8865,5358,4844,10681,11682,4292,8300,7208,5647,4305,5398,4364,7113,5869,8041,7105,4929,4010,11370,7463,12753,3085,284,1859,304,2736,299,2756,4797,1414,458,1864,6569,2188,2107,1753,988,1347,446,4441,73,3843,1810,4735,1116,8636,4480,5538,2782,10658,3605,7066,4292,5607,10809,7021,5402,5438,4508,6277,6410,5709,427,7706,6210,10462,6131,9001,5198,0,0,0,0,1904,121,358,144,688,41,1150,4073,1978,463,689,275,166,706,213,451,169,215,347,1205,309,182,371,925,672,154,301,193,1274,146,2423,0,1585,1148,2506,1220,984,1592,1211,767,419,399,309,834,134,498,505,1406,20578,5962,8693,4938,10606,11454,9953,12427,15287,8242,14227,5406,7663,9172,10280,7409,10183,8099,11387,9959,12064,4417,9007,12150,0,0,0,0
"6af247c9cbfa7ba8a6fb3e1da2b1cc91",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,114,0,0,9,214,0,0,0,2610,0,263,129,1775,0,3,0,222,0,194,0,14,0,0,0,4,0,0,0,0,7,0,31,0,0,4098,80,0,0,2870,0,182,84,134,0,0,0,0,0,0,0,9382,235,3693,1379,5178,10934,14340,0,4686,0,7717,433,5789,17055,8885,0,6961,0,10502,14789,13649,1996,10527,0,6725,0,3486,0,4817,0,0,0,10349,132,5493,3240,4156,0,6682,0,2422,7967,2861,0,4681,0,6822,0,787,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52755694e86dd21f3cb9b28a66c25a9f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,77,129,256,120,823,142,0,52,89,0,305,222,485,59,688,0,203,0,271,0,238,127,718,372,1204,1563,993,844,2724,1796,798,1109,1400,1013,914,791,956,951,919,1101,1459,808,848,1211,1410,1479,828,0,321,55,613,0,680,857,345,77,421,1141,469,267,349,139,256,68,743,0,782,207,753,163,2092,868,1487,486,2600,684,1632,651,1356,1762,1612,784,941,637,975,840,1071,74,1351,890,2445,837,2071,725,0,0,0,0,419,0,123,0,159,0,339,0,629,86,218,0,0,0,0,96,0,0,0,0,62,0,68,181,174,60,70,0,305,0,587,0,407,0,420,0,207,314,244,125,66,80,60,0,0,83,98,0,3648,1000,2120,937,2456,1936,2217,1479,3382,947,2658,644,1850,1880,2051,1349,2838,1441,2311,1785,2158,801,1690,2136,0,0,0,0
"7ba096c6ac036d4a5e14202fc1d42583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942,0,1286,0,1337,0,266,0,3928,461,3521,7081,5144,473,5604,0,1312,0,1383,806,938,241,1514,3181,444,0,282,0,295,465,40,28,0,0,133,325,2828,178,350,97,3787,494,797,0,40,43,991,149,46,1371,586,966,0,917,1632,1534,887,1048,1472,0,1438,33,1409,445,767,96,2465,11,2129,918,2960,440,48,0,0,140,0,0,1058,0,0,399,246,0,0,0,300,17,7,97,10,0,0,24,0,0,0,0,0,0,10,0,0,0,0,0,0,17,239,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,0,0,0,0,0,0,0,1549,21,430,0,185,174,0,115,0,112,30,428,60,188,441,0,517,0,20,5,0,236,0,0,0,0,0,0
"6fa82456aa64e544f294b0a714df156f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297,0,901,3,3998,753,1569,0,42,371,0,0,897,225,816,47,216,0,2475,0,3502,8,3072,0,434,205,425,108,630,0,149,0,116,0,64,0,699,46,207,59,615,240,2860,661,1369,14,1009,130,469,45,855,26,3151,9,704,573,680,150,575,1495,800,188,1066,121,862,102,480,2,882,64,1517,180,1352,162,2495,304,3658,280,942,208,339,391,304,148,878,77,677,37,403,44,1073,205,134,435,315,122,0,0,0,0,181,111,0,0,0,0,16,0,85,0,9,0,33,0,19,0,12,0,0,344,0,0,354,135,303,0,0,0,56,0,74,0,703,1397,281,0,209,0,283,45,117,29,0,0,65,0,93,0,1861,380,406,59,648,11,736,0,15,5,327,0,232,0,118,79,48,411,1750,123,2180,153,1588,567,0,0,0,0
"605d094ed6b646b1046754809987a2e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,370,0,0,0,56,0,74,0,73,0,0,0,114,0,127,0,0,0,20,0,28,0,106,0,43,0,0,0,39,0,114,44,0,38,109,0,0,0,0,0,597,0,94,4,69,15,54,5,160,0,171,4,15,0,203,0,236,0,195,108,13056,49,8102,26,3959,0,156,22,123,0,118,15,16,0,294,0,299,0,40,12,20,0,4,8,30,0,94,0,233,0,0,0,0,0,68,0,428,150,4275,319,4638,168,384,561,639,13,5699,6,156,0,166,96,3600,200,2733,101,712,149,302,503,178,609,95,0,0,0,2160,131,2694,705,288,776,258,232,1112,0,498,0,104,167,2779,53,419,0,20,47,77,6,59,0,32,0,134,0,0,12,3,0,7,8,14,13,120,0,25,0,0,0,0
"0355c3827d4b18a1c134421304b64533",104,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,20307,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14411,14447,14866,0
"c373a304788e5e45e034a1c8e38c9e35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,1660,0,0,0,0,0,2451,0,0,0,408,0,7,0,0,0,330,0,43,0,92,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,5748,0,0,16,621,0,1222,0,161,0,0,0,1125,0,0,17,1406,9,4548,684,724,680,0,0,0,0,0,0,33,0,0,166,0,0,3,0,1219,0,11,49,140,0,138,0,0,0,0,0,0,0,5306,0,1993,0,5794,0,262,0,851,0,1035,0,1698,0,1370,0,428,0,199,0,16,245,356,0,1523,0,148,0,180,0,3823,0,282,0,2856,0,1785,0,878,0,162,0,207,0,2590,0,3006,0,0,0,0,0,125,0,0,0,0,0,7,0,157,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,255
"eff4f4196a84cc234ecaab860d51dec5",0,0,0,0,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729,0,711,1989,260,0,723,320,1155,0,345,0,575,0,423,0,2346,0,1504,211,2147,31,4905,119,1241,0,7856,0,3039,0,2491,0,1577,34,1298,24,4919,0,2258,0,8607,0,354,4,4,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1119
"392c8501259d0e28eb9b9785f564a43c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184,767,442,0,45,0,250,0,2590,0,731,0,109,0,6,0,0,3858,1252,14,3882,0,98,0,42,0,23,0,0,101,7,0,68,1277,8,4339,174,821,5469,128,182,5597,6858,1987,57,0,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,34,0,0,0,0,0,0,0,0,0,0,0,192,0,16,0,0,0,7,0,0,0,0,0
