"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","Consensus"
"00087b2b4f65c943f6dec495bb497c34","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","Thraustochytriaceae","Aplanochytrium","Aplanochytrium sp. ANT10.3","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"002073358d1c5c807846cf7c9366e358","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00253f990c9fcf9414d6252fcf5d0533","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Schizostauron sp.","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00308333888a4a94a3e7d64bbb64f637","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Capnodiales","Capnobotryella sp. MA 4659","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"003f247d941ea766158233b82a232faa","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Linhomoeidae","Terschellingia","1"
"004692a52c463110b900a42eb6d86940","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00473d8df0ec481263eb1a495ef1428b","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","Thraustochytriaceae","Thraustochytrium","Oblongichytrium sp. PBS05","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0064cdfc3ee7663eade6db93400f3821","Eukaryota","Amorphea","Amoebozoa","Discosea","Flabellinia","Dactylopodida","Paramoeba","Paramoeba aestuarina","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"006c20c065e1189c2837df4838f7d445","Eukaryota","Archaeplastida","Chloroplastida","Charophyta","Phragmoplastophyta","Streptophyta","Embryophyta","Tracheophyta","Spermatophyta","Magnoliophyta","Allium cepa (onion)","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00874d225612c42b5cf46246c21aee42","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Skeletonema sp.","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00a9104c100235f5630ce2ff5eb30a91","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCP clade","Bilateria","Protostomia","Ecdysozoa","Arthropoda","Crustacea","Maxillopoda","Copepoda","Harpacticoida","Dactylopusia sp. New Caledonia-RJH-2007","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00b0e3279027ace6e854b20f97fc49de","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Cryptomycota","Incertae Sedis","Incertae Sedis","Incertae Sedis","Incertae Sedis","Paramicrosporidium","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00b5437fbb650a720a39f9f5b08b9443","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","uncultured","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
