"","Site","Habitat","MS"
"16S-bodega-bay_Blank.10","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.11","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.12","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.1","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.2","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.3","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.4","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.5","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.6","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.7","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.8","Blank","Blank","Blank 0"
"16S-bodega-bay_Blank.9","Blank","Blank","Blank 0"
"16S-bodega-bay_CC.B.1.1","Campbell Cove","Bare Sediment","CC 1"
"16S-bodega-bay_CC.B.1.2","Campbell Cove","Bare Sediment","CC 1"
"16S-bodega-bay_CC.B.1.3","Campbell Cove","Bare Sediment","CC 1"
"16S-bodega-bay_CC.B.2.1","Campbell Cove","Bare Sediment","CC 2"
"16S-bodega-bay_CC.B.2.2","Campbell Cove","Bare Sediment","CC 2"
"16S-bodega-bay_CC.B.2.3.1","Campbell Cove","Bare Sediment","CC 2"
"16S-bodega-bay_CC.B.3.1","Campbell Cove","Bare Sediment","CC 3"
"16S-bodega-bay_CC.B.3.2","Campbell Cove","Bare Sediment","CC 3"
"16S-bodega-bay_CC.B.3.3","Campbell Cove","Bare Sediment","CC 3"
"16S-bodega-bay_CC.B.4.1","Campbell Cove","Bare Sediment","CC 4"
"16S-bodega-bay_CC.B.4.2","Campbell Cove","Bare Sediment","CC 4"
"16S-bodega-bay_CC.B.4.3","Campbell Cove","Bare Sediment","CC 4"
"16S-bodega-bay_CC.SG.1.1","Campbell Cove","Sea Grass","CC 5"
"16S-bodega-bay_CC.SG.1.2","Campbell Cove","Sea Grass","CC 5"
"16S-bodega-bay_CC.SG.1.3","Campbell Cove","Sea Grass","CC 5"
"16S-bodega-bay_CC.SG.2.1","Campbell Cove","Sea Grass","CC 6"
"16S-bodega-bay_CC.SG.2.2","Campbell Cove","Sea Grass","CC 6"
"16S-bodega-bay_CC.SG.2.3","Campbell Cove","Sea Grass","CC 6"
"16S-bodega-bay_CC.SG.3.1","Campbell Cove","Sea Grass","CC 7"
"16S-bodega-bay_CC.SG.3.2","Campbell Cove","Sea Grass","CC 7"
"16S-bodega-bay_CC.SG.3.3","Campbell Cove","Sea Grass","CC 7"
"16S-bodega-bay_CC.SG.4.1","Campbell Cove","Sea Grass","CC 8"
"16S-bodega-bay_CC.SG.4.2","Campbell Cove","Sea Grass","CC 8"
"16S-bodega-bay_CC.SG.4.3","Campbell Cove","Sea Grass","CC 8"
"16S-bodega-bay_MM.B.1.1","Mason's Marina","Bare Sediment","MM 1"
"16S-bodega-bay_MM.B.1.2","Mason's Marina","Bare Sediment","MM 1"
"16S-bodega-bay_MM.B.1.3","Mason's Marina","Bare Sediment","MM 1"
"16S-bodega-bay_MM.B.2.1","Mason's Marina","Bare Sediment","MM 2"
"16S-bodega-bay_MM.B.2.2","Mason's Marina","Bare Sediment","MM 2"
"16S-bodega-bay_MM.B.2.3","Mason's Marina","Bare Sediment","MM 2"
"16S-bodega-bay_MM.B.3.1","Mason's Marina","Bare Sediment","MM 3"
"16S-bodega-bay_MM.B.3.2","Mason's Marina","Bare Sediment","MM 3"
"16S-bodega-bay_MM.B.3.3","Mason's Marina","Bare Sediment","MM 3"
"16S-bodega-bay_MM.B.4.1","Mason's Marina","Bare Sediment","MM 4"
"16S-bodega-bay_MM.B.4.2","Mason's Marina","Bare Sediment","MM 4"
"16S-bodega-bay_MM.B.4.3","Mason's Marina","Bare Sediment","MM 4"
"16S-bodega-bay_MM.SG.1.1","Mason's Marina","Sea Grass","MM 5"
"16S-bodega-bay_MM.SG.1.2","Mason's Marina","Sea Grass","MM 5"
"16S-bodega-bay_MM.SG.1.3","Mason's Marina","Sea Grass","MM 5"
"16S-bodega-bay_MM.SG.2.1","Mason's Marina","Sea Grass","MM 6"
"16S-bodega-bay_MM.SG.2.2","Mason's Marina","Sea Grass","MM 6"
"16S-bodega-bay_MM.SG.2.3","Mason's Marina","Sea Grass","MM 6"
"16S-bodega-bay_MM.SG.3.1","Mason's Marina","Sea Grass","MM 7"
"16S-bodega-bay_MM.SG.3.2","Mason's Marina","Sea Grass","MM 7"
"16S-bodega-bay_MM.SG.3.3","Mason's Marina","Sea Grass","MM 7"
"16S-bodega-bay_MM.SG.4.1","Mason's Marina","Sea Grass","MM 8"
"16S-bodega-bay_MM.SG.4.2","Mason's Marina","Sea Grass","MM 8"
"16S-bodega-bay_MM.SG.4.3","Mason's Marina","Sea Grass","MM 8"
"16S-bodega-bay_NegCtrl1","Control","Control","0"
"16S-bodega-bay_NegCtrl2","Control","Control","0"
"16S-bodega-bay_WP.MFH.1.1","Westside Park","Bare Sediment","WP 1"
"16S-bodega-bay_WP.MFH.1.2","Westside Park","Bare Sediment","WP 1"
"16S-bodega-bay_WP.MFH.1.3","Westside Park","Bare Sediment","WP 1"
"16S-bodega-bay_WP.MFH.2.1.1","Westside Park","Bare Sediment","WP 2"
"16S-bodega-bay_WP.MFH.2.2","Westside Park","Bare Sediment","WP 2"
"16S-bodega-bay_WP.MFH.2.3","Westside Park","Bare Sediment","WP 2"
"16S-bodega-bay_WP.MFH.3.1.1","Westside Park","Bare Sediment","WP 3"
"16S-bodega-bay_WP.MFH.3.2","Westside Park","Bare Sediment","WP 3"
"16S-bodega-bay_WP.MFH.3.3","Westside Park","Bare Sediment","WP 3"
"16S-bodega-bay_WP.MFH.4.1.1","Westside Park","Bare Sediment","WP 4"
"16S-bodega-bay_WP.MFH.4.2","Westside Park","Bare Sediment","WP 4"
"16S-bodega-bay_WP.MFH.4.3","Westside Park","Bare Sediment","WP 4"
"16S-bodega-bay_WP.MFL.1.1","Westside Park","Bare Sediment","WP 5"
"16S-bodega-bay_WP.MFL.1.2","Westside Park","Bare Sediment","WP 5"
"16S-bodega-bay_WP.MFL.1.3","Westside Park","Bare Sediment","WP 5"
"16S-bodega-bay_WP.MFL.2.1.1","Westside Park","Bare Sediment","WP 6"
"16S-bodega-bay_WP.MFL.2.2.1","Westside Park","Bare Sediment","WP 6"
"16S-bodega-bay_WP.MFL.2.3.1","Westside Park","Bare Sediment","WP 6"
"16S-bodega-bay_WP.MFL.3.1","Westside Park","Bare Sediment","WP 7"
"16S-bodega-bay_WP.MFL.3.2","Westside Park","Bare Sediment","WP 7"
"16S-bodega-bay_WP.MFL.3.3","Westside Park","Bare Sediment","WP 7"
"16S-bodega-bay_WP.MFL.4.1.1","Westside Park","Bare Sediment","WP 8"
"16S-bodega-bay_WP.MFL.4.2","Westside Park","Bare Sediment","WP 8"
"16S-bodega-bay_WP.MFL.4.3","Westside Park","Bare Sediment","WP 8"
"16S-bodega-bay_WP.SG.1.1","Westside Park","Sea Grass","WP 9"
"16S-bodega-bay_WP.SG.1.2","Westside Park","Sea Grass","WP 9"
"16S-bodega-bay_WP.SG.1.3","Westside Park","Sea Grass","WP 9"
"16S-bodega-bay_WP.SG.2.1","Westside Park","Sea Grass","WP 10"
"16S-bodega-bay_WP.SG.2.2","Westside Park","Sea Grass","WP 10"
"16S-bodega-bay_WP.SG.2.3","Westside Park","Sea Grass","WP 10"
"16S-bodega-bay_WP.SG.3.1","Westside Park","Sea Grass","WP 11"
"16S-bodega-bay_WP.SG.3.2","Westside Park","Sea Grass","WP 11"
"16S-bodega-bay_WP.SG.3.3","Westside Park","Sea Grass","WP 11"
"16S-bodega-bay_WP.SG.4.1","Westside Park","Sea Grass","WP 12"
"16S-bodega-bay_WP.SG.4.2","Westside Park","Sea Grass","WP 12"
"16S-bodega-bay_WP.SG.4.3","Westside Park","Sea Grass","WP 12"
"16S-bodega-bay_Zymo.Ctrl1","Control","Control","0"
"16S-bodega-bay_Zymo.Ctrl2","Control","Control","0"
