"","description"
"1.1.1.1","Alcohol dehydrogenase"
"1.1.1.100","3-oxoacyl-[acyl-carrier-protein] reductase"
"1.1.1.102","3-dehydrosphinganine reductase"
"1.1.1.103","L-threonine 3-dehydrogenase"
"1.1.1.105","All-trans-retinol dehydrogenase (NAD(+))"
"1.1.1.107","Pyridoxal 4-dehydrogenase"
"1.1.1.108","Carnitine 3-dehydrogenase"
"1.1.1.11","D-arabinitol 4-dehydrogenase"
"1.1.1.120","Galactose 1-dehydrogenase (NADP(+))"
"1.1.1.122","D-threo-aldose 1-dehydrogenase"
"1.1.1.127","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase"
"1.1.1.130","3-dehydro-L-gulonate 2-dehydrogenase"
"1.1.1.132","GDP-mannose 6-dehydrogenase"
"1.1.1.133","dTDP-4-dehydrorhamnose reductase"
"1.1.1.135","GDP-6-deoxy-D-talose 4-dehydrogenase"
"1.1.1.136","UDP-N-acetylglucosamine 6-dehydrogenase"
"1.1.1.137","Ribitol-5-phosphate 2-dehydrogenase"
"1.1.1.14","L-iditol 2-dehydrogenase"
"1.1.1.140","Sorbitol-6-phosphate 2-dehydrogenase"
"1.1.1.145","3-beta-hydroxy-Delta(5)-steroid dehydrogenase"
"1.1.1.157","3-hydroxybutyryl-CoA dehydrogenase"
"1.1.1.159","7-alpha-hydroxysteroid dehydrogenase"
"1.1.1.16","Galactitol 2-dehydrogenase"
"1.1.1.163","Cyclopentanol dehydrogenase"
"1.1.1.169","2-dehydropantoate 2-reductase"
"1.1.1.17","Mannitol-1-phosphate 5-dehydrogenase"
"1.1.1.173","L-rhamnose 1-dehydrogenase"
"1.1.1.175","D-xylose 1-dehydrogenase"
"1.1.1.178","3-hydroxy-2-methylbutyryl-CoA dehydrogenase"
"1.1.1.179","D-xylose 1-dehydrogenase (NADP(+))"
"1.1.1.18","Inositol 2-dehydrogenase"
"1.1.1.181","Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase"
"1.1.1.184","Carbonyl reductase (NADPH)"
"1.1.1.189","Prostaglandin-E(2) 9-reductase"
"1.1.1.193","5-amino-6-(5-phosphoribosylamino)uracil reductase"
"1.1.1.197","15-hydroxyprostaglandin dehydrogenase (NADP(+))"
"1.1.1.2","Alcohol dehydrogenase (NADP(+))"
"1.1.1.202","1,3-propanediol dehydrogenase"
"1.1.1.203","Uronate dehydrogenase"
"1.1.1.205","IMP dehydrogenase"
"1.1.1.206","Tropinone reductase I"
"1.1.1.21","Aldose reductase"
"1.1.1.211","Long-chain-3-hydroxyacyl-CoA dehydrogenase"
"1.1.1.215","Gluconate 2-dehydrogenase"
"1.1.1.219","Dihydroflavanol 4-reductase"
"1.1.1.22","UDP-glucose 6-dehydrogenase"
"1.1.1.23","Histidinol dehydrogenase"
"1.1.1.239","3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))"
"1.1.1.25","Shikimate dehydrogenase"
"1.1.1.251","Galactitol-1-phosphate 5-dehydrogenase"
"1.1.1.258","6-hydroxyhexanoate dehydrogenase"
"1.1.1.26","Glyoxylate reductase"
"1.1.1.261","sn-glycerol-1-phosphate dehydrogenase"
"1.1.1.262","4-hydroxythreonine-4-phosphate dehydrogenase"
"1.1.1.264","L-idonate 5-dehydrogenase (NAD(P)(+))"
"1.1.1.267","1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"1.1.1.27","L-lactate dehydrogenase"
"1.1.1.271","GDP-L-fucose synthase"
"1.1.1.272","D-2-hydroxyacid dehydrogenase (NADP(+))"
"1.1.1.275","(+)-trans-carveol dehydrogenase"
"1.1.1.276","Serine 3-dehydrogenase (NADP(+))"
"1.1.1.28","D-lactate dehydrogenase"
"1.1.1.281","GDP-4-dehydro-6-deoxy-D-mannose reductase"
"1.1.1.282","Quinate/shikimate dehydrogenase"
"1.1.1.284","S-(hydroxymethyl)glutathione dehydrogenase"
"1.1.1.287","D-arabinitol dehydrogenase (NADP(+))"
"1.1.1.289","Sorbose reductase"
"1.1.1.29","Glycerate dehydrogenase"
"1.1.1.290","4-phosphoerythronate dehydrogenase"
"1.1.1.291","2-hydroxymethylglutarate dehydrogenase"
"1.1.1.292","1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)"
"1.1.1.294","Chlorophyll(ide) b reductase"
"1.1.1.298","3-hydroxypropionate dehydrogenase (NADP(+))"
"1.1.1.3","Homoserine dehydrogenase"
"1.1.1.30","3-hydroxybutyrate dehydrogenase"
"1.1.1.300","NADP-retinol dehydrogenase"
"1.1.1.302","2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
"1.1.1.303","Diacetyl reductase ((R)-acetoin forming)"
"1.1.1.304","Diacetyl reductase ((S)-acetoin forming)"
"1.1.1.305","UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)"
"1.1.1.306","S-(hydroxymethyl)mycothiol dehydrogenase"
"1.1.1.307","D-xylose reductase"
"1.1.1.308","Sulfopropanediol 3-dehydrogenase"
"1.1.1.31","3-hydroxyisobutyrate dehydrogenase"
"1.1.1.310","(S)-sulfolactate dehydrogenase"
"1.1.1.312","2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase"
"1.1.1.313","Sulfoacetaldehyde reductase"
"1.1.1.316","L-galactose 1-dehydrogenase"
"1.1.1.320","Benzil reductase ((S)-benzoin forming)"
"1.1.1.325","Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)"
"1.1.1.328","Nicotine blue oxidoreductase"
"1.1.1.333","Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase"
"1.1.1.335","UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase"
"1.1.1.336","UDP-N-acetyl-D-mannosamine dehydrogenase"
"1.1.1.337","L-2-hydroxycarboxylate dehydrogenase (NAD(+))"
"1.1.1.338","(2R)-3-sulfolactate dehydrogenase (NADP(+))"
"1.1.1.339","dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))"
"1.1.1.34","Hydroxymethylglutaryl-CoA reductase (NADPH)"
"1.1.1.341","CDP-abequose synthase"
"1.1.1.342","CDP-paratose synthase"
"1.1.1.343","Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)"
"1.1.1.346","2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)"
"1.1.1.347","Geraniol dehydrogenase (NAD(+))"
"1.1.1.35","3-hydroxyacyl-CoA dehydrogenase"
"1.1.1.350","Ureidoglycolate dehydrogenase (NAD(+))"
"1.1.1.354","Farnesol dehydrogenase (NAD(+))"
"1.1.1.359","Aldose 1-dehydrogenase (NAD(P)(+))"
"1.1.1.36","Acetoacetyl-CoA reductase"
"1.1.1.360","Glucose/galactose 1-dehydrogenase"
"1.1.1.361","Glucose-6-phosphate 3-dehydrogenase"
"1.1.1.363","Glucose-6-phosphate dehydrogenase (NAD(P)(+))"
"1.1.1.367","UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase"
"1.1.1.368","6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase"
"1.1.1.369","D-chiro-inositol 1-dehydrogenase"
"1.1.1.37","Malate dehydrogenase"
"1.1.1.370","Scyllo-inositol 2-dehydrogenase (NAD(+))"
"1.1.1.371","Scyllo-inositol 2-dehydrogenase (NADP(+))"
"1.1.1.373","Sulfolactaldehyde 3-reductase"
"1.1.1.374","UDP-N-acetylglucosamine 3-dehydrogenase"
"1.1.1.376","L-arabinose 1-dehydrogenase (NAD(P)(+))"
"1.1.1.377","L-rhamnose 1-dehydrogenase (NADP(+))"
"1.1.1.378","L-rhamnose 1-dehydrogenase (NAD(P)(+))"
"1.1.1.38","Malate dehydrogenase (oxaloacetate-decarboxylating)"
"1.1.1.380","L-gulonate 5-dehydrogenase"
"1.1.1.381","3-hydroxy acid dehydrogenase"
"1.1.1.384","dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase"
"1.1.1.385","Dihydroanticapsin 7-dehydrogenase"
"1.1.1.387","L-serine 3-dehydrogenase (NAD(+))"
"1.1.1.388","Glucose-6-phosphate dehydrogenase (NAD(+))"
"1.1.1.394","Aurachin B dehydrogenase"
"1.1.1.396","Bacteriochlorophyllide-a dehydrogenase"
"1.1.1.399","2-oxoglutarate reductase"
"1.1.1.4","(R,R)-butanediol dehydrogenase"
"1.1.1.40","Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
"1.1.1.400","2-methyl-1,2-propanediol dehydrogenase"
"1.1.1.401","2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))"
"1.1.1.402","D-erythritol 1-phosphate dehydrogenase"
"1.1.1.403","D-threitol dehydrogenase (NAD(+))"
"1.1.1.404","Tetrachlorobenzoquinone reductase"
"1.1.1.405","Ribitol-5-phosphate 2-dehydrogenase (NADP(+))"
"1.1.1.406","Galactitol 2-dehydrogenase (L-tagatose-forming)"
"1.1.1.407","D-altritol 5-dehydrogenase"
"1.1.1.408","4-phospho-D-threonate 3-dehydrogenase"
"1.1.1.409","4-phospho-D-erythronate 3-dehydrogenase"
"1.1.1.41","Isocitrate dehydrogenase (NAD(+))"
"1.1.1.410","D-erythronate 2-dehydrogenase"
"1.1.1.411","L-threonate 2-dehydrogenase"
"1.1.1.412","2-alkyl-3-oxoalkanoate reductase"
"1.1.1.413","A-factor type gamma-butyrolactone 1'-reductase (1S-forming)"
"1.1.1.42","Isocitrate dehydrogenase (NADP(+))"
"1.1.1.43","Phosphogluconate 2-dehydrogenase"
"1.1.1.44","Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
"1.1.1.47","Glucose 1-dehydrogenase (NAD(P)(+))"
"1.1.1.48","D-galactose 1-dehydrogenase"
"1.1.1.49","Glucose-6-phosphate dehydrogenase (NADP(+))"
"1.1.1.51","3(or 17)-beta-hydroxysteroid dehydrogenase"
"1.1.1.53","3-alpha(or 20-beta)-hydroxysteroid dehydrogenase"
"1.1.1.56","Ribitol 2-dehydrogenase"
"1.1.1.57","Fructuronate reductase"
"1.1.1.58","Tagaturonate reductase"
"1.1.1.6","Glycerol dehydrogenase"
"1.1.1.60","2-hydroxy-3-oxopropionate reductase"
"1.1.1.61","4-hydroxybutyrate dehydrogenase"
"1.1.1.62","17-beta-estradiol 17-dehydrogenase"
"1.1.1.65","Pyridoxine 4-dehydrogenase"
"1.1.1.67","Mannitol 2-dehydrogenase"
"1.1.1.69","Gluconate 5-dehydrogenase"
"1.1.1.76","(S,S)-butanediol dehydrogenase"
"1.1.1.77","Lactaldehyde reductase"
"1.1.1.79","Glyoxylate reductase (NADP(+))"
"1.1.1.8","Glycerol-3-phosphate dehydrogenase (NAD(+))"
"1.1.1.81","Hydroxypyruvate reductase"
"1.1.1.83","D-malate dehydrogenase (decarboxylating)"
"1.1.1.85","3-isopropylmalate dehydrogenase"
"1.1.1.86","Ketol-acid reductoisomerase (NADP(+))"
"1.1.1.87","Homoisocitrate dehydrogenase"
"1.1.1.88","Hydroxymethylglutaryl-CoA reductase"
"1.1.1.9","D-xylulose reductase"
"1.1.1.90","Aryl-alcohol dehydrogenase"
"1.1.1.91","Aryl-alcohol dehydrogenase (NADP(+))"
"1.1.1.93","Tartrate dehydrogenase"
"1.1.1.94","Glycerol-3-phosphate dehydrogenase (NAD(P)(+))"
"1.1.1.95","Phosphoglycerate dehydrogenase"
"1.1.2.3","L-lactate dehydrogenase (cytochrome)"
"1.1.2.4","D-lactate dehydrogenase (cytochrome)"
"1.1.2.6","Polyvinyl alcohol dehydrogenase (cytochrome)"
"1.1.2.7","Methanol dehydrogenase (cytochrome c)"
"1.1.2.8","Alcohol dehydrogenase (cytochrome c)"
"1.1.2.9","1-butanol dehydrogenase (cytochrome c)"
"1.1.3.12","Pyridoxine 4-oxidase"
"1.1.3.15","(S)-2-hydroxy-acid oxidase"
"1.1.3.17","Choline oxidase"
"1.1.3.20","Long-chain-alcohol oxidase"
"1.1.3.21","Glycerol-3-phosphate oxidase"
"1.1.3.41","Alditol oxidase"
"1.1.3.46","4-hydroxymandelate oxidase"
"1.1.3.47","5-(hydroxymethyl)furfural oxidase"
"1.1.3.48","3-deoxy-alpha-D-manno-octulosonate 8-oxidase"
"1.1.3.6","Cholesterol oxidase"
"1.1.3.8","L-gulonolactone oxidase"
"1.1.3.9","Galactose oxidase"
"1.1.5.11","1-butanol dehydrogenase (quinone)"
"1.1.5.12","D-lactate dehydrogenase (quinone)"
"1.1.5.2","Quinoprotein glucose dehydrogenase (PQQ, quinone)"
"1.1.5.3","Glycerol-3-phosphate dehydrogenase"
"1.1.5.4","Malate dehydrogenase (quinone)"
"1.1.5.5","Alcohol dehydrogenase (quinone)"
"1.1.5.8","Quinate dehydrogenase (quinone)"
"1.1.5.9","Glucose 1-dehydrogenase (FAD, quinone)"
"1.1.9.1","Alcohol dehydrogenase (azurin)"
"1.1.98.2","Glucose-6-phosphate dehydrogenase (coenzyme-F420)"
"1.1.98.3","Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase"
"1.1.98.4","F420H(2):quinone oxidoreductase"
"1.1.98.5","Secondary-alcohol dehydrogenase (coenzyme-F420)"
"1.1.98.6","Ribonucleoside-triphosphate reductase (formate)"
"1.1.99.1","Choline dehydrogenase"
"1.1.99.2","L-2-hydroxyglutarate dehydrogenase"
"1.1.99.21","D-sorbitol dehydrogenase (acceptor)"
"1.1.99.24","Hydroxyacid-oxoacid transhydrogenase"
"1.1.99.28","Glucose-fructose oxidoreductase"
"1.1.99.3","Gluconate 2-dehydrogenase (acceptor)"
"1.1.99.31","(S)-mandelate dehydrogenase"
"1.1.99.37","Methanol dehydrogenase (nicotinoprotein)"
"1.1.99.6","D-lactate dehydrogenase (acceptor)"
"1.10.2.2","Transferred entry 7.1.1.8"
"1.10.3.10","Transferred entry 7.1.1.3"
"1.10.3.11","Ubiquinol oxidase (non-electrogenic)"
"1.10.3.12","Transferred entry 7.1.1.5"
"1.10.3.14","Transferred entry 7.1.1.7"
"1.10.3.15","Grixazone synthase"
"1.10.3.16","Dihydrophenazinedicarboxylate synthase"
"1.10.3.3","L-ascorbate oxidase"
"1.10.3.4","o-aminophenol oxidase"
"1.10.3.9","Photosystem II"
"1.10.9.1","Transferred entry 7.1.1.6"
"1.11.1.1","NADH peroxidase"
"1.11.1.10","Chloride peroxidase"
"1.11.1.11","L-ascorbate peroxidase"
"1.11.1.15","Peroxiredoxin"
"1.11.1.19","Dye decolorizing peroxidase"
"1.11.1.21","Catalase peroxidase"
"1.11.1.22","Hydroperoxy fatty acid reductase"
"1.11.1.5","Cytochrome-c peroxidase"
"1.11.1.6","Catalase"
"1.11.1.7","Peroxidase"
"1.11.1.9","Glutathione peroxidase"
"1.11.2.4","Fatty-acid peroxygenase"
"1.12.1.2","Hydrogen dehydrogenase"
"1.12.1.3","Hydrogen dehydrogenase (NADP(+))"
"1.12.1.4","Hydrogenase (NAD(+), ferredoxin)"
"1.12.1.5","Hydrogen dehydrogenase (NAD(P)(+))"
"1.12.2.1","Cytochrome-c3 hydrogenase"
"1.12.5.1","Hydrogen:quinone oxidoreductase"
"1.12.7.2","Ferredoxin hydrogenase"
"1.12.98.1","Coenzyme F420 hydrogenase"
"1.12.98.2","5,10-methenyltetrahydromethanopterin hydrogenase"
"1.12.98.3","Methanosarcina-phenazine hydrogenase"
"1.12.98.4","Sulfhydrogenase"
"1.12.99.6","Hydrogenase (acceptor)"
"1.13.11.1","Catechol 1,2-dioxygenase"
"1.13.11.11","Tryptophan 2,3-dioxygenase"
"1.13.11.14","2,3-dihydroxybenzoate 3,4-dioxygenase"
"1.13.11.15","3,4-dihydroxyphenylacetate 2,3-dioxygenase"
"1.13.11.16","3-carboxyethylcatechol 2,3-dioxygenase"
"1.13.11.18","Persulfide dioxygenase"
"1.13.11.19","Cysteamine dioxygenase"
"1.13.11.2","Catechol 2,3-dioxygenase"
"1.13.11.20","Cysteine dioxygenase"
"1.13.11.24","Quercetin 2,3-dioxygenase"
"1.13.11.25","dioxygenase"
"1.13.11.27","4-hydroxyphenylpyruvate dioxygenase"
"1.13.11.3","Protocatechuate 3,4-dioxygenase"
"1.13.11.33","Arachidonate 15-lipoxygenase"
"1.13.11.37","Hydroxyquinol 1,2-dioxygenase"
"1.13.11.38","1-hydroxy-2-naphthoate 1,2-dioxygenase"
"1.13.11.39","Biphenyl-2,3-diol 1,2-dioxygenase"
"1.13.11.4","Gentisate 1,2-dioxygenase"
"1.13.11.41","2,4'-dihydroxyacetophenone dioxygenase"
"1.13.11.46","4-hydroxymandelate synthase"
"1.13.11.49","Chlorite O(2)-lyase"
"1.13.11.5","Homogentisate 1,2-dioxygenase"
"1.13.11.50","Acetylacetone-cleaving enzyme"
"1.13.11.52","Indoleamine 2,3-dioxygenase"
"1.13.11.53","Acireductone dioxygenase (Ni(2+)-requiring)"
"1.13.11.54","Acireductone dioxygenase (Fe(2+)-requiring)"
"1.13.11.57","Gallate dioxygenase"
"1.13.11.6","3-hydroxyanthranilate 3,4-dioxygenase"
"1.13.11.63","Beta-carotene 15,15'-dioxygenase"
"1.13.11.74","2-aminophenol 1,6-dioxygenase"
"1.13.11.75","All-trans-8'-apo-beta-carotenal 15,15'-oxygenase"
"1.13.11.76","2-amino-5-chlorophenol 1,6-dioxygenase"
"1.13.11.78","2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)"
"1.13.11.79","Aerobic 5,6-dimethylbenzimidazole synthase"
"1.13.11.8","Protocatechuate 4,5-dioxygenase"
"1.13.11.80","(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase"
"1.13.11.81","7,8-dihydroneopterin oxygenase"
"1.13.11.82","8'-apo-carotenoid 13,14-cleaving dioxygenase"
"1.13.11.9","2,5-dihydroxypyridine 5,6-dioxygenase"
"1.13.12.16","Nitronate monooxygenase"
"1.13.12.19","2-oxuglutarate dioxygenase (ethene-forming)"
"1.13.12.21","Tetracenomycin-F1 monooxygenase"
"1.13.12.22","Deoxynogalonate monooxygenase"
"1.13.12.3","Tryptophan 2-monooxygenase"
"1.13.12.4","Lactate 2-monooxygenase"
"1.13.12.9","Phenylalanine 2-monooxygenase"
"1.13.99.1","Inositol oxygenase"
"1.14.11.1","Gamma-butyrobetaine dioxygenase"
"1.14.11.16","Peptide-aspartate beta-dioxygenase"
"1.14.11.17","Taurine dioxygenase"
"1.14.11.18","Phytanoyl-CoA dioxygenase"
"1.14.11.2","Procollagen-proline 4-dioxygenase"
"1.14.11.21","Clavaminate synthase"
"1.14.11.27","[Histone H3]-dimethyl-L-lysine(36) demethylase"
"1.14.11.30","Hypoxia-inducible factor-asparagine dioxygenase"
"1.14.11.33","DNA oxidative demethylase"
"1.14.11.34","Transferred entry 1.14.20.7"
"1.14.11.35","1-deoxypentalenic acid 11-beta-hydroxylase"
"1.14.11.4","Procollagen-lysine 5-dioxygenase"
"1.14.11.45","L-isoleucine 4-hydroxylase"
"1.14.11.46","2-aminoethylphosphonate dioxygenase"
"1.14.11.47","[50S ribosomal protein L16]-arginine 3-hydroxylase"
"1.14.11.52","Validamycin A dioxygenase"
"1.14.11.55","Ectoine hydroxylase"
"1.14.11.7","Procollagen-proline 3-dioxygenase"
"1.14.12.1","Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)"
"1.14.12.10","Benzoate 1,2-dioxygenase"
"1.14.12.11","Toluene dioxygenase"
"1.14.12.12","Naphthalene 1,2-dioxygenase"
"1.14.12.15","Terephthalate 1,2-dioxygenase"
"1.14.12.17","Nitric oxide dioxygenase"
"1.14.12.18","Biphenyl 2,3-dioxygenase"
"1.14.12.19","3-phenylpropanoate dioxygenase"
"1.14.12.23","Nitroarene dioxygenase"
"1.14.12.24","2,4-dinitrotoluene dioxygenase"
"1.14.12.25","p-cumate 2,3-dioxygenase"
"1.14.12.3","Benzene 1,2-dioxygenase"
"1.14.12.4","Transferred entry 1.14.13.242"
"1.14.12.7","Phthalate 4,5-dioxygenase"
"1.14.13.1","Salicylate 1-monooxygenase"
"1.14.13.10","2,6-dihydroxypyridine 3-monooxygenase"
"1.14.13.106","Epi-isozizaene 5-monooxygenase"
"1.14.13.107","Limonene 1,2-monooxygenase"
"1.14.13.111","Methanesulfonate monooxygenase (NADH)"
"1.14.13.113","FAD-dependent urate hydroxylase"
"1.14.13.114","6-hydroxynicotinate 3-monooxygenase"
"1.14.13.127","3-(3-hydroxy-phenyl)propanoic acid hydroxylase"
"1.14.13.133","Transferred entry 1.14.15.32"
"1.14.13.141","Transferred entry 1.14.15.29"
"1.14.13.142","Transferred entry 1.14.15.30"
"1.14.13.148","Trimethylamine monooxygenase"
"1.14.13.149","Phenylacetyl-CoA 1,2-epoxidase"
"1.14.13.151","Transferred entry 1.14.14.84"
"1.14.13.154","Erythromycin 12 hydroxylase"
"1.14.13.160","(2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase"
"1.14.13.162","Transferred entry 1.14.14.108"
"1.14.13.163","6-hydroxy-3-succinoylpyridine 3-monooxygenase"
"1.14.13.166","4-nitrocatechol 4-monooxygenase"
"1.14.13.168","Indole-3-pyruvate monooxygenase"
"1.14.13.170","Pentalenolactone D synthase"
"1.14.13.171","Neopentalenolactone D synthase"
"1.14.13.172","Salicylate 5-hydroxylase"
"1.14.13.182","2-heptyl-3-hydroxy-4(1H)-quinolone synthase"
"1.14.13.188","Transferred entry 1.14.15.35"
"1.14.13.195","L-ornithine N(5)-monooxygenase (NADPH)"
"1.14.13.196","L-ornithine N(5)-monooxygenase (NAD(P)H)"
"1.14.13.2","4-hydroxybenzoate 3-monooxygenase"
"1.14.13.20","2,4-dichlorophenol 6-monooxygenase"
"1.14.13.200","Tetracenomycin A2 monooxygenase-diooxygenase"
"1.14.13.208","Benzoyl-CoA 2,3-epoxidase"
"1.14.13.209","Salicyloyl-CoA 5-hydroxylase"
"1.14.13.211","Rifampicin monooxygenase"
"1.14.13.218","5-methylphenazine-1-carboxylate 1-monooxygenase"
"1.14.13.219","Resorcinol 4-hydroxylase (NADPH)"
"1.14.13.22","Cyclohexanone monooxygenase"
"1.14.13.220","Resorcinol 4-hydroxylase (NADH)"
"1.14.13.221","Transferred entry 1.14.15.28"
"1.14.13.224","Violacein synthase"
"1.14.13.226","Acetone monooxygenase (methyl acetate-forming)"
"1.14.13.227","Propane 2-monooxygenase"
"1.14.13.229","Tert-butanol monooxygenase"
"1.14.13.23","3-hydroxybenzoate 4-monooxygenase"
