"","16S-bodega-bay-fecal-experiment_Blank.1","16S-bodega-bay-fecal-experiment_Blank.10","16S-bodega-bay-fecal-experiment_Blank.11","16S-bodega-bay-fecal-experiment_Blank.12","16S-bodega-bay-fecal-experiment_Blank.2","16S-bodega-bay-fecal-experiment_Blank.3","16S-bodega-bay-fecal-experiment_Blank.4","16S-bodega-bay-fecal-experiment_Blank.5","16S-bodega-bay-fecal-experiment_Blank.6","16S-bodega-bay-fecal-experiment_Blank.7","16S-bodega-bay-fecal-experiment_Blank.8","16S-bodega-bay-fecal-experiment_Blank.9","16S-bodega-bay-fecal-experiment_CC.B.1.1","16S-bodega-bay-fecal-experiment_CC.B.1.2","16S-bodega-bay-fecal-experiment_CC.B.1.3","16S-bodega-bay-fecal-experiment_CC.B.2.1","16S-bodega-bay-fecal-experiment_CC.B.2.2","16S-bodega-bay-fecal-experiment_CC.B.2.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.2","16S-bodega-bay-fecal-experiment_CC.B.3.3","16S-bodega-bay-fecal-experiment_CC.B.4.1","16S-bodega-bay-fecal-experiment_CC.B.4.2","16S-bodega-bay-fecal-experiment_CC.B.4.3","16S-bodega-bay-fecal-experiment_CC.SG.1.1","16S-bodega-bay-fecal-experiment_CC.SG.1.2","16S-bodega-bay-fecal-experiment_CC.SG.1.3","16S-bodega-bay-fecal-experiment_CC.SG.2.1","16S-bodega-bay-fecal-experiment_CC.SG.2.2","16S-bodega-bay-fecal-experiment_CC.SG.2.3","16S-bodega-bay-fecal-experiment_CC.SG.3.1","16S-bodega-bay-fecal-experiment_CC.SG.3.2","16S-bodega-bay-fecal-experiment_CC.SG.3.3","16S-bodega-bay-fecal-experiment_CC.SG.4.1","16S-bodega-bay-fecal-experiment_CC.SG.4.2","16S-bodega-bay-fecal-experiment_CC.SG.4.3","16S-bodega-bay-fecal-experiment_MM.B.1.1","16S-bodega-bay-fecal-experiment_MM.B.1.2","16S-bodega-bay-fecal-experiment_MM.B.1.3","16S-bodega-bay-fecal-experiment_MM.B.2.1","16S-bodega-bay-fecal-experiment_MM.B.2.2","16S-bodega-bay-fecal-experiment_MM.B.2.3","16S-bodega-bay-fecal-experiment_MM.B.3.1","16S-bodega-bay-fecal-experiment_MM.B.3.2","16S-bodega-bay-fecal-experiment_MM.B.3.3","16S-bodega-bay-fecal-experiment_MM.B.4.1","16S-bodega-bay-fecal-experiment_MM.B.4.2","16S-bodega-bay-fecal-experiment_MM.B.4.3","16S-bodega-bay-fecal-experiment_MM.SG.1.1","16S-bodega-bay-fecal-experiment_MM.SG.1.2","16S-bodega-bay-fecal-experiment_MM.SG.1.3","16S-bodega-bay-fecal-experiment_MM.SG.2.1","16S-bodega-bay-fecal-experiment_MM.SG.2.2","16S-bodega-bay-fecal-experiment_MM.SG.2.3","16S-bodega-bay-fecal-experiment_MM.SG.3.1","16S-bodega-bay-fecal-experiment_MM.SG.3.2","16S-bodega-bay-fecal-experiment_MM.SG.3.3","16S-bodega-bay-fecal-experiment_MM.SG.4.1","16S-bodega-bay-fecal-experiment_MM.SG.4.2","16S-bodega-bay-fecal-experiment_MM.SG.4.3","16S-bodega-bay-fecal-experiment_NegCtrl1","16S-bodega-bay-fecal-experiment_NegCtrl2","16S-bodega-bay-fecal-experiment_WP.MFH.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.1.2","16S-bodega-bay-fecal-experiment_WP.MFH.1.3","16S-bodega-bay-fecal-experiment_WP.MFH.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.2.2","16S-bodega-bay-fecal-experiment_WP.MFH.2.3","16S-bodega-bay-fecal-experiment_WP.MFH.3.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.3.2","16S-bodega-bay-fecal-experiment_WP.MFH.3.3","16S-bodega-bay-fecal-experiment_WP.MFH.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.4.2","16S-bodega-bay-fecal-experiment_WP.MFH.4.3","16S-bodega-bay-fecal-experiment_WP.MFL.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.1.2","16S-bodega-bay-fecal-experiment_WP.MFL.1.3","16S-bodega-bay-fecal-experiment_WP.MFL.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.2.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.2","16S-bodega-bay-fecal-experiment_WP.MFL.3.3","16S-bodega-bay-fecal-experiment_WP.MFL.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.4.2","16S-bodega-bay-fecal-experiment_WP.MFL.4.3","16S-bodega-bay-fecal-experiment_WP.SG.1.1","16S-bodega-bay-fecal-experiment_WP.SG.1.2","16S-bodega-bay-fecal-experiment_WP.SG.1.3","16S-bodega-bay-fecal-experiment_WP.SG.2.1","16S-bodega-bay-fecal-experiment_WP.SG.2.2","16S-bodega-bay-fecal-experiment_WP.SG.2.3","16S-bodega-bay-fecal-experiment_WP.SG.3.1","16S-bodega-bay-fecal-experiment_WP.SG.3.2","16S-bodega-bay-fecal-experiment_WP.SG.3.3","16S-bodega-bay-fecal-experiment_WP.SG.4.1","16S-bodega-bay-fecal-experiment_WP.SG.4.2","16S-bodega-bay-fecal-experiment_WP.SG.4.3","16S-bodega-bay-fecal-experiment_Zymo.Ctrl1","16S-bodega-bay-fecal-experiment_Zymo.Ctrl2"
"1.1.1.1",0,45589,11145,114,2251,13241,3847,8077,5263,4261,20718,1165,16786,54134,55578,22555,24763,33494,52871,70406,76261,37030,47848,57719,17501,41007,24210,45347,39371,26007,43473,873130,112143,53890,39111,74341,32157,46969,10219,86269,53616,37031,22617,25422,37444,67946,58325,59764,51052,27190,62,35942,64856,37018,48732,53309,55241,52440,61679,52515,5177,760,60810,114028,83168,40840,44298,33534,59517,64199,62782,52134,48040,33711,64535,56472,37645,69658,57281,41527,86020,73167,34242,32770,23379,62206,24306,30725,35302,51640,33688,7561,38948,35229,36404,32497,49432,38129,49884,67828
"1.1.1.100",0,109479,19327,248,4267,20186,7565,19071,7696,5006,47095,3145,36176,107931,111167,47647,49232,63133,109358,140209,147257,67517,88700,111051,36220,84313,47972,88602,76728,53686,72131,1696144,213794,110053,70841,121016,62865,92883,20118,176392,110075,77737,44650,49799,73205,117330,105552,108445,102665,55332,107,71154,122326,68316,94621,105303,104433,100863,120014,100778,7924,1494,113530,205207,135188,77107,79020,58335,94552,119799,108549,90009,81223,62548,113968,101542,63108,113337,90007,66885,143523,127118,59628,59291,45295,103535,50054,66416,76231,106050,64837,14166,80604,73550,78432,70307,104962,80818,52790,72569
"1.1.1.102",0,6,55,0,0,0,0,0,0,0,0,0,64,212,345,108,154,236,279,224,268,93,111,159,88,263,139,184,124,114,70,3254,458,323,147,229,106,176,43,436,256,138,55,77,114,100,126,160,138,123,0,150,202,108,155,174,238,171,109,152,0,0,126,84,38,48,76,44,40,78,123,78,30,110,50,58,19,91,60,42,50,53,16,16,26,49,68,167,243,247,118,18,237,216,206,254,331,274,0,0
"1.1.1.103",0,3140,1652,83,61,810,705,466,332,316,1537,68,3132,8296,8989,3610,4546,6414,8917,11536,13340,6842,8393,9922,2817,6595,4364,7660,6909,4525,8869,147522,18835,7977,6781,12035,5151,8519,1862,11826,7546,4315,3691,3956,5700,13103,11192,11291,7764,4405,5,5181,10879,6515,7814,8179,8976,8276,9300,9465,384,35,11052,22688,16712,6514,7536,6371,12440,10269,9850,10981,10100,5504,11668,10426,6749,14174,11440,8076,15353,12796,6522,6054,3509,11727,3740,4745,5010,8746,6803,1440,6074,5342,5027,4774,8211,5385,4955,7059
"1.1.1.105",0,137,95,0,45,38,17,0,144,0,724,0,49,210,158,68,138,294,198,201,380,219,238,360,68,105,126,186,139,105,97,2708,472,206,174,293,159,241,62,248,146,90,118,108,176,127,250,313,186,99,0,152,393,179,211,237,438,325,216,228,0,0,208,291,237,345,243,122,189,304,305,187,86,255,228,206,103,297,188,122,534,287,136,156,120,259,54,122,65,100,125,27,153,104,101,165,148,114,0,0
"1.1.1.107",0,0,18,0,0,86,0,0,0,0,0,0,0,0,0,0,0,17,0,124,111,20,19,26,0,17,23,0,0,0,0,340,33,0,23,41,29,61,0,67,24,0,46,61,67,39,90,86,48,18,0,34,138,60,88,57,77,74,23,69,0,0,0,70,0,0,12,0,0,21,15,19,0,0,21,21,27,39,30,0,44,50,15,20,21,58,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"1.1.1.108",0,232,21,0,24,324,41,108,51,311,0,1,8,189,118,51,328,335,225,934,1102,927,1330,1124,32,139,157,516,538,447,1581,20247,2001,193,1461,2460,262,391,64,382,259,0,236,368,624,2402,1173,1244,155,66,0,230,936,665,450,349,678,300,406,530,79,0,1003,2165,2996,743,1031,1000,2158,1350,915,1460,2086,442,1757,1452,1240,3578,3370,2188,2893,2638,1150,1387,410,3092,298,172,140,408,596,148,156,65,81,111,422,156,0,0
"1.1.1.11",0,0,0,0,51,22,0,0,0,0,0,0,51,87,97,24,26,18,52,164,138,15,159,44,25,57,72,95,142,52,0,2555,73,42,323,418,9,0,0,0,0,0,0,0,0,37,71,79,0,13,0,0,27,0,0,50,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0,0,0,5,0,0,23,84,0,0,0,0,0,0,0,189,21,59,67,76,16,0,16,1,4,111,13,0,0
"1.1.1.120",0,0,18,0,0,61,0,0,0,311,0,0,10,139,38,7,180,288,196,454,716,623,946,766,32,63,194,336,406,224,543,12984,1463,178,820,1214,152,234,63,108,205,19,126,216,276,1404,836,800,91,63,0,112,529,420,278,240,370,185,240,392,83,0,311,987,1205,327,380,433,1032,498,491,748,1362,266,695,563,480,1906,2007,1167,944,808,506,417,139,1522,140,139,45,323,426,68,62,44,51,50,292,78,0,0
"1.1.1.122",0,10088,47,5,75,741,0,415,186,0,3821,824,233,1024,1078,496,445,426,1074,1653,1547,911,1362,1332,249,662,406,751,675,482,2148,23785,2628,1125,1215,3174,481,933,205,1662,1068,794,393,517,809,1708,1229,1350,1055,481,0,618,1560,722,974,1148,996,1098,1110,1062,994,21,1430,2775,3296,904,1156,1101,3143,1593,1243,1705,2252,722,1969,1879,1138,3803,3307,2410,3165,2353,1798,1292,547,3227,587,782,700,1047,917,246,679,634,616,709,1151,863,0,0
"1.1.1.127",0,3459,472,33,283,894,695,653,309,379,2861,347,1346,4356,4445,1536,2322,2630,4554,5558,6844,3576,4922,5668,1210,3164,1752,4071,3538,2326,3391,90885,10906,4874,3837,6948,2349,3301,661,8456,5093,3470,1894,1866,3030,8140,4716,5297,4214,1854,0,3131,5075,2957,3555,4231,4504,3980,5264,4134,470,35,5370,9023,6606,3430,3349,3030,4591,6328,4952,4366,4870,2997,5460,5039,3241,6897,6886,4439,6526,6293,3642,3065,2536,6669,2135,2544,3378,4747,2583,429,3054,3094,3672,2979,4158,3729,6622,9093
